return_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_return_yards,kickoff_returns,kickoff_return_yards,punt_returns,punt_return_yards,games_played,year,category
1,Keith,Williams,Keith Williams,/mo/arnold/central-homeschool-panthers/athletes/keith-williams/football/stats/?careerid=fjnkmik5pr3k4,fjnkmik5pr3k4,"B, DB",Central HomeSchool,MO,1168,1168,34,1127,3,41,10,2016,returns
2,Kobe,Chamber,Kobe Chamber,/ms/greenwood/greenwood-bulldogs/athletes/kobe-chamber/football/stats/?careerid=0mqsralmhl4bb,0mqsralmhl4bb,"SB, WR",Greenwood,MS,1124,1124,19,759,17,365,12,2016,returns
3,Leon,Morgan,Leon Morgan,/az/mesa/mesa-jackrabbits/athletes/leon-morgan/football/stats/?careerid=eq3db2fssbr88,eq3db2fssbr88,WR,Mesa,AZ,1094,1094,14,745,8,349,11,2016,returns
4,Roger,Hernandez,Roger Hernandez,/az/phoenix/central-bobcats/athletes/roger-hernandez/football/stats/?careerid=9sqc6uedbrhi2,9sqc6uedbrhi2,WR,Central,AZ,1091,1091,24,645,21,446,10,2016,returns
5,Tahler,Cook,Tahler Cook,/il/east-st-louis/east-st-louis-flyers/athletes/tahler-cook/football/stats/?careerid=ahnag275jn6ue,ahnag275jn6ue,SS,East St. Louis,IL,1062,1062,12,422,11,410,14,2016,returns
6,Myron,Sloan,Myron Sloan,/il/chicago/little-village-phoenix/athletes/myron-sloan/football/stats/?careerid=74heiqu7okdqa,74heiqu7okdqa,"WR, FS",Little Village,IL,1028,1028,14,723,9,305,8,2016,returns
7,Alec,Buob,Alec Buob,/il/chillicothe/illinois-valley-central-grey-ghosts/athletes/alec-buob/football/stats/?careerid=2jagmkdok5ivf,2jagmkdok5ivf,"CB, WR",Illinois Valley Central,IL,999,999,16,623,17,376,9,2016,returns
8,Malone,Mataele,Malone Mataele,/ca/rancho-santa-margarita/santa-margarita-eagles/athletes/malone-mataele/football/stats/?careerid=q7g8tumqgtnee,q7g8tumqgtnee,"WR, CB",Santa Margarita,CA,990,990,25,711,16,279,12,2016,returns
9,Draycen,Hall,Draycen Hall,/az/gilbert/higley-knights/athletes/draycen-hall/football/stats/?careerid=difqg73ogle44,difqg73ogle44,"SB, RB",Higley,AZ,969,969,16,666,27,303,13,2016,returns
10,Eric,Pacheco,Eric Pacheco,/ne/kearney/kearney-catholic-stars/athletes/eric-pacheco/football/stats/?careerid=4mocp7veo47o8,4mocp7veo47o8,"WR, CB",Kearney Catholic,NE,965,965,23,646,17,319,12,2016,returns
