return_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_return_yards,kickoff_returns,kickoff_return_yards,punt_returns,punt_return_yards,games_played,year,category
1,Chase,Barry,Chase Barry,/ca/san-juan-capistrano/jserra-catholic-lions/athletes/chase-barry/football/stats/?careerid=7hiucr2kpdlm6,7hiucr2kpdlm6,"P, K",JSerra Catholic,CA,1123,1123,0,0,0,0,5,2020,returns
2,Logen,Walker,Logen Walker,/ar/mountain-home/mountain-home-bombers/athletes/logen-walker/football/stats/?careerid=mt94jbp6l6i77,mt94jbp6l6i77,"QB, WR",Mountain Home,AR,1042,1042,40,976,15,66,12,2020,returns
3,Jalen,Jarrett,Jalen Jarrett,/fl/kissimmee/poinciana-eagles/athletes/jalen-jarrett/football/stats/?careerid=kbqb5dc8pc0j3,kbqb5dc8pc0j3,"RB, KR",Poinciana,FL,992,992,20,716,7,276,9,2020,returns
4,Jackson,Young,Jackson Young,/tx/boerne/geneva-eagles/athletes/jackson-young/football/stats/?careerid=hjv5aj64ih9qa,hjv5aj64ih9qa,"WR, FS",Geneva,TX,872,872,30,743,11,129,10,2020,returns
5,Daminn,Cunningham,Daminn Cunningham,/wv/morgantown/university-hawks/athletes/daminn-cunningham/football/stats/?careerid=ad55l6sq2h388,ad55l6sq2h388,"RB, CB",University,WV,819,819,20,649,9,170,7,2020,returns
6,Britton,Smith,Britton Smith,/ut/delta/delta-rabbits/athletes/britton-smith/football/stats/?careerid=gl3mv1tal2r33,gl3mv1tal2r33,"WR, CB",Delta,UT,805,805,27,697,7,108,13,2020,returns
7,Braden,Jay,Braden Jay,/ar/cabot/cabot-panthers/athletes/braden-jay/football/stats/?careerid=phre3i8dtbmff,phre3i8dtbmff,WR,Cabot,AR,782,782,30,782,0,0,12,2020,returns
8,Jhdhan,Lester,Jhdhan Lester,/ut/magna/cyprus-pirates/athletes/jhdhan-lester/football/stats/?careerid=tfv8ouq2e6ubb,tfv8ouq2e6ubb,RB,Cyprus,UT,749,749,17,553,7,196,9,2020,returns
9,Mehki,Wall,Mehki Wall,/nc/greensboro/dudley-panthers/athletes/mehki-wall/football/stats/?careerid=h2k48im5pp6j3,h2k48im5pp6j3,WR,Dudley,NC,741,741,6,357,15,384,10,2020,returns
10,Khamari,Glover,Khamari Glover,/ga/hoschton/mill-creek-hawks/athletes/khamari-glover/football/stats/?careerid=98uockaos89ue,98uockaos89ue,"DB, WR",Mill Creek,GA,738,738,17,439,26,299,10,2020,returns
11,Doug,Sharp,Doug Sharp,/fl/bushnell/south-sumter-raiders/athletes/doug-sharp/football/stats/?careerid=5bqvci8nq0p77,5bqvci8nq0p77,"CB, WR",South Sumter,FL,734,734,21,513,12,221,10,2020,returns
