return_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_return_yards,kickoff_returns,kickoff_return_yards,punt_returns,punt_return_yards,games_played,year,category
1,Kadiyon,Sweat,Kadiyon Sweat,/ut/lehi/lehi-pioneers/athletes/kadiyon-sweat/football/stats/?careerid=r9sto5iq4iri2,r9sto5iq4iri2,DB,Lehi,UT,1211,1211,23,789,38,422,14,2021,returns
2,Luke,Wyatt,Luke Wyatt,/ar/fort-smith/southside-mavericks/athletes/luke-wyatt/football/stats/?careerid=79oede5sdo199,79oede5sdo199,WR,Southside,AR,986,986,39,959,4,27,11,2021,returns
3,Trey,Carr,Trey Carr,/ca/fresno/clovis-west-golden-eagles/athletes/trey-carr/football/stats/?careerid=gida63ihqr3dd,gida63ihqr3dd,"WR, CB",Clovis West,CA,978,978,39,806,7,172,12,2021,returns
4,Isaac,Brown,Isaac Brown,/fl/homestead/homestead-broncos/athletes/isaac-brown/football/stats/?careerid=chbn0pjls2466,chbn0pjls2466,"RB, WR",Homestead,FL,966,966,10,582,9,384,9,2021,returns
5,Avaunt,Ortiz,Avaunt Ortiz,/az/tempe/mcclintock-chargers/athletes/avaunt-ortiz/football/stats/?careerid=864vt0opdkf00,864vt0opdkf00,"CB, WR",McClintock,AZ,917,917,18,681,18,236,9,2021,returns
6,Corey,Reddick,Corey Reddick,/fl/delray-beach/atlantic-eagles/athletes/corey-reddick/football/stats/?careerid=aiselc6hu8co8,aiselc6hu8co8,HB,Atlantic,FL,912,912,14,522,11,390,10,2021,returns
7,Angelo,Alvarez,Angelo Alvarez,/az/cottonwood/mingus-marauders/athletes/angelo-alvarez/football/stats/?careerid=fnl96sot425cc,fnl96sot425cc,"RB, FS",Mingus,AZ,899,899,26,899,0,0,9,2021,returns
8,Mehki,Wall,Mehki Wall,/nc/greensboro/dudley-panthers/athletes/mehki-wall/football/stats/?careerid=h2k48im5pp6j3,h2k48im5pp6j3,"WR, DB",Dudley,NC,891,891,4,160,22,731,15,2021,returns
9,Thomas,Doxtader,Thomas Doxtader,/az/kingman/lee-williams-volunteers/athletes/thomas-doxtader/football/stats/?careerid=mslvg57l7upsc,mslvg57l7upsc,"QB, K",Lee Williams,AZ,867,867,26,733,10,134,12,2021,returns
10,Dmitry,Payne,Dmitry Payne,/la/grambling/lincoln-prep-panthers/athletes/dmitry-payne/football/stats/?careerid=epg6tj7fqv2j3,epg6tj7fqv2j3,"WR, CB",Lincoln Prep,LA,866,866,22,866,0,0,12,2021,returns
