return_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_return_yards,kickoff_returns,kickoff_return_yards,punt_returns,punt_return_yards,games_played,year,category
1,Jason,Voter,Jason Voter,/ca/grass-valley/bear-river-bruins/athletes/jason-voter/football/stats/?careerid=pvf6t4asspn99,pvf6t4asspn99,QB,Bear River,CA,1469,1469,0,0,0,0,12,2015,returns
2,Elrondo,Guido,Elrondo Guido,/mo/st-louis/tdw-academy-jaguars/athletes/elrondo-guido/football/stats/?careerid=862kvcft8a3m6,862kvcft8a3m6,"SE, CB",TDW Academy,MO,1317,1317,22,707,29,610,10,2015,returns
3,Ryan,Mitchell,Ryan Mitchell,/va/roanoke/hidden-valley-titans/athletes/ryan-mitchell/football/stats/?careerid=p48309ek239h1,p48309ek239h1,"WR, FS",Hidden Valley,VA,1245,1245,53,1164,13,81,12,2015,returns
4,Kenan,Fontenot,Kenan Fontenot,/la/lake-charles/hamilton-christian-warriors/athletes/kenan-fontenot/football/stats/?careerid=4di29fsehqiqa,4di29fsehqiqa,"WR, CB",Hamilton Christian,LA,1175,1175,19,819,11,356,11,2015,returns
5,Justin,Muniz,Justin Muniz,/co/denver/kennedy-commanders/athletes/justin-muniz/football/stats/?careerid=0lpcrbogln1td,0lpcrbogln1td,"RB, WR",Kennedy,CO,1138,1138,18,650,19,488,10,2015,returns
6,Cornell,Powell,Cornell Powell,/nc/greenville/jh-rose-rampants/athletes/cornell-powell/football/stats/?careerid=potj7gb23jkn7,potj7gb23jkn7,"WR, DB",J.H. Rose,NC,1107,1107,21,754,10,353,15,2015,returns
7,"Emmanuel, (ray ray)",Wells,"Emmanuel, (ray ray) Wells",/wa/seattle/rainier-beach-vikings/athletes/emmanuel--ray-ray-wells/football/stats/?careerid=rl0odu1q8cll5,rl0odu1q8cll5,"WR, CB",Rainier Beach,WA,1086,1086,16,580,13,506,10,2015,returns
8,Tanner,Garcia,Tanner Garcia,/az/apache-junction/apache-junction-prospectors/athletes/tanner-garcia/football/stats/?careerid=b7rr6eb8rsno8,b7rr6eb8rsno8,WR,Apache Junction,AZ,1022,1022,34,964,6,58,10,2015,returns
9,David,Mcgriff,David Mcgriff,/az/peoria/centennial-coyotes/athletes/david-mcgriff/football/stats/?careerid=qgg63v6ig77ee,qgg63v6ig77ee,"WR, CB",Centennial,AZ,1020,1020,22,514,33,506,14,2015,returns
10,Kyle,Williams,Kyle Williams,/ca/murrieta/vista-murrieta-broncos/athletes/kyle-williams/football/stats/?careerid=8575q6n9g47k4,8575q6n9g47k4,WR,Vista Murrieta,CA,998,998,10,581,20,417,14,2015,returns
11,Elijah,Lilly,Elijah Lilly,/ca/san-bernardino/cajon-cowboys/athletes/elijah-lilly/football/stats/?careerid=t2t42ig12h9g0,t2t42ig12h9g0,"CB, WR",Cajon,CA,974,974,13,786,9,188,13,2015,returns
12,Jaylon,King,Jaylon King,/la/sterlington/sterlington-panthers/athletes/jaylon-king/football/stats/?careerid=tu9o7latjk822,tu9o7latjk822,CB,Sterlington,LA,959,959,19,611,12,348,12,2015,returns
13,Khair,Muhammad,Khair Muhammad,/az/phoenix/asu-prep-sun-devils/athletes/khair-muhammad/football/stats/?careerid=fgn6ouv0bkj77,fgn6ouv0bkj77,"DB, QB",ASU Prep,AZ,956,956,42,881,7,75,10,2015,returns
14,"John ""gps""",Mays,"John ""gps"" Mays",/nj/hillside/hillside-comets/athletes/john-gps-mays/football/stats/?careerid=l5n6i2413t7n7,l5n6i2413t7n7,"SB, FS",Hillside,NJ,947,947,16,604,15,343,10,2015,returns
15,Aidan,Verba-Hamilton,Aidan Verba-Hamilton,/ca/san-francisco/archbishop-riordan-crusaders/athletes/aidan-verba-hamilton/football/stats/?careerid=sc2e381nqatsc,sc2e381nqatsc,"WR, FS",Archbishop Riordan,CA,925,925,13,621,11,304,13,2015,returns
16,Shamar,Moreland,Shamar Moreland,/az/laveen/fairfax-stampede/athletes/shamar-moreland/football/stats/?careerid=p2jbhkquk58rb,p2jbhkquk58rb,"FS, WR",Fairfax,AZ,911,911,14,578,19,333,10,2015,returns
17,Troy,Miller,Troy Miller,/pa/quarryville/solanco-golden-mules/athletes/troy-miller/football/stats/?careerid=9nn61d6v14h55,9nn61d6v14h55,"WR, CB",Solanco,PA,902,902,16,485,20,417,13,2015,returns
18,Tony,Palmer,Tony Palmer,/mi/lansing/lansing-catholic-cougars/athletes/tony-palmer/football/stats/?careerid=u6bvvhbj5jmrb,u6bvvhbj5jmrb,"WR, RB",Lansing Catholic,MI,900,900,12,408,21,492,13,2015,returns
19,Jordan,Hunt,Jordan Hunt,/ca/valencia/west-ranch-wildcats/athletes/jordan-hunt/football/stats/?careerid=dqijacv8ftirb,dqijacv8ftirb,"KR, PR",West Ranch,CA,897,897,23,629,15,268,9,2015,returns
20,Tyler,Precia,Tyler Precia,/wi/jackson/kettle-moraine-lutheran-chargers/athletes/tyler-precia/football/stats/?careerid=p2mgj0j0faeff,p2mgj0j0faeff,"RB, SS",Kettle Moraine Lutheran,WI,893,893,36,893,0,0,9,2015,returns
21,Josh,Brown,Josh Brown,/fl/gainesville/pk-yonge-blue-wave/athletes/josh-brown/football/stats/?careerid=1qarnki4j77td,1qarnki4j77td,"RB, CB",Eastside,FL,892,892,33,817,3,75,10,2015,returns
22,Caleb,Egherman,Caleb Egherman,/az/phoenix/northwest-christian-crusaders/athletes/caleb-egherman/football/stats/?careerid=6drtgus52crvf,6drtgus52crvf,"DB, WR",Northwest Christian,AZ,891,891,19,417,20,474,14,2015,returns
23,Shawn Dalton,Weatherbee,Shawn Dalton Weatherbee,/ms/booneville/thrasher-rebels/athletes/shawn-dalton-weatherbee/football/stats/?careerid=ods1jd24e6ndd,ods1jd24e6ndd,"RB, DB",Thrasher,MS,889,889,21,698,6,191,11,2015,returns
24,Preston,Gehring,Preston Gehring,/pa/schuylkill-haven/schuylkill-haven-hurricanes/athletes/preston-gehring/football/stats/?careerid=562r82i1rc3dd,562r82i1rc3dd,"RB, DB",Schuylkill Haven,PA,881,881,31,771,11,110,11,2015,returns
25,Christian,Saulsberry,Christian Saulsberry,/ms/southaven/northpoint-christian-trojans/athletes/christian-saulsberry/football/stats/?careerid=pce9smgtdemg0,pce9smgtdemg0,"RB, SB",Northpoint Christian,MS,872,872,15,418,21,454,14,2015,returns
26,Brandon,Wellington,Brandon Wellington,/wa/sammamish/eastside-catholic-crusaders/athletes/brandon-wellington/football/stats/?careerid=058vvoji5ptj3,058vvoji5ptj3,"RB, FS",Eastside Catholic,WA,871,871,18,865,1,6,13,2015,returns
27,Brandon,Reaves,Brandon Reaves,/ca/san-clemente/san-clemente-tritons/athletes/brandon-reaves/football/stats/?careerid=der65cuq71qi2,der65cuq71qi2,"RB, SB",San Clemente,CA,859,859,15,424,25,435,14,2015,returns
28,Brandon,Perrilliat,Brandon Perrilliat,/ca/san-ramon/california-grizzlies/athletes/brandon-perrilliat/football/stats/?careerid=ecn51e2qc1ek4,ecn51e2qc1ek4,WR,California,CA,856,856,28,747,3,109,11,2015,returns
29,Ramses,Hernandez,Ramses Hernandez,/ca/los-angeles/fairfax-lions/athletes/ramses-hernandez/football/stats/?careerid=4jra32d30v522,4jra32d30v522,RB,Fairfax,CA,849,849,19,747,5,102,15,2015,returns
30,Eric,Gallman,Eric Gallman,/nc/huntersville/southlake-christian-academy-eagles/athletes/eric-gallman/football/stats/?careerid=k6271b6a96ci2,k6271b6a96ci2,"WR, CB",Mountain Island Charter,NC,849,849,17,556,12,293,12,2015,returns
31,Jaylon,Green,Jaylon Green,/az/avondale/agua-fria-owls/athletes/jaylon-green/football/stats/?careerid=80kp7dnq5svtd,80kp7dnq5svtd,"WR, FS",Agua Fria,AZ,839,839,16,600,10,239,10,2015,returns
32,Nathaniel,Krimmel,Nathaniel Krimmel,/az/glendale/apollo-hawks/athletes/nathaniel-krimmel/football/stats/?careerid=1c9k434jqdqsc,1c9k434jqdqsc,WR,Apollo,AZ,839,839,20,617,9,222,9,2015,returns
33,Daniel,Graves,Daniel Graves,/nc/graham/graham-red-devils/athletes/daniel-graves/football/stats/?careerid=inf28pt7pauj3,inf28pt7pauj3,"RB, WR",Graham,NC,834,834,21,763,2,71,11,2015,returns
34,Cole,Beaty,Cole Beaty,/ca/bakersfield/centennial-golden-hawks/athletes/cole-beaty/football/stats/?careerid=hodpb05bs2qn7,hodpb05bs2qn7,"FS, SB",Centennial,CA,827,827,12,576,10,251,11,2015,returns
35,Vincent,Johnson,Vincent Johnson,/fl/tallahassee/lincoln-trojans/athletes/vincent-johnson/football/stats/?careerid=tcrruv9bv7oi2,tcrruv9bv7oi2,"DB, WR",Lincoln,FL,822,822,29,695,12,127,12,2015,returns
36,Seth,Gibson,Seth Gibson,/ca/ceres/ceres-bulldogs/athletes/seth-gibson/football/stats/?careerid=q0lgppobcjsh1,q0lgppobcjsh1,"WR, LB",Ceres,CA,820,820,26,776,4,44,10,2015,returns
37,Mote,Siufanua,Mote Siufanua,/ut/orem/timpanogos-timberwolves/athletes/mote-siufanua/football/stats/?careerid=c8g56sgk20rj3,c8g56sgk20rj3,"WR, LB",Timpanogos,UT,816,816,28,743,15,73,10,2015,returns
38,Jake,Hoffman,Jake Hoffman,/nj/basking-ridge/ridge-red-devil/athletes/jake-hoffman/football/stats/?careerid=cd45jjpc4n3g0,cd45jjpc4n3g0,"RB, CB",Ridge,NJ,815,815,29,738,14,77,11,2015,returns
39,Mitch,Carsley,Mitch Carsley,/pa/elverson/twin-valley-raiders/athletes/mitch-carsley/football/stats/?careerid=1d2uvkm187lg0,1d2uvkm187lg0,"RB, WR",Twin Valley,PA,812,812,25,571,12,241,10,2015,returns
40,Tremon,Jackson,Tremon Jackson,/in/new-haven/new-haven-bulldogs/athletes/tremon-jackson/football/stats/?careerid=jg08r1r00o4g0,jg08r1r00o4g0,"RB, SS",New Haven,IN,812,812,16,408,17,333,11,2015,returns
41,Moses,Ulysse,Moses Ulysse,/pa/denver/cocalico-eagles/athletes/moses-ulysse/football/stats/?careerid=16gdd9r29h7ee,16gdd9r29h7ee,"WR, DB",Cocalico,PA,807,807,15,494,17,313,10,2015,returns
42,John,Johnson iv,John Johnson iv,/dc/washington/eastern-ramblers/athletes/john-johnson-iv/football/stats/?careerid=tcjf095693tvf,tcjf095693tvf,"CB, FS",Eastern,DC,802,802,18,508,10,294,12,2015,returns
43,Hunter,Trinidad,Hunter Trinidad,/tx/san-antonio/johnson-jaguars/athletes/hunter-trinidad/football/stats/?careerid=0blocu3595go8,0blocu3595go8,WR,Johnson,TX,802,802,18,610,10,192,11,2015,returns
44,Evan,Pruitt,Evan Pruitt,/ca/temecula/rancho-christian-eagles/athletes/evan-pruitt/football/stats/?careerid=avejv6sa02kqa,avejv6sa02kqa,"WR, FS",Rancho Christian,CA,797,797,16,553,19,244,12,2015,returns
45,Saiquan,Jones,Saiquan Jones,/fl/gulfport/boca-ciega-pirates/athletes/saiquan-jones/football/stats/?careerid=uo58vvqibardd,uo58vvqibardd,"WR, SS",Boca Ciega,FL,792,792,24,709,6,83,10,2015,returns
46,J.P.,Shohfi,J.P. Shohfi,/ca/san-marino/san-marino-titans/athletes/jp-shohfi/football/stats/?careerid=8ba6gbbfre9qa,8ba6gbbfre9qa,"WR, CB",San Marino,CA,784,784,19,534,35,250,16,2015,returns
47,Jamez,Coles,Jamez Coles,/wv/wheeling/wheeling-park-patriots/athletes/jamez-coles/football/stats/?careerid=qetcgn6l0udee,qetcgn6l0udee,"CB, WR",Wheeling Park,WV,778,778,6,153,25,625,13,2015,returns
48,Sean,Wallace,Sean Wallace,/tx/dallas/a-plus-academy-knights/athletes/sean-wallace/football/stats/?careerid=ah89sja8h3iff,ah89sja8h3iff,"QB, RB",A Plus Academy,TX,773,773,8,364,15,409,11,2015,returns
49,Immanuel,Wilder,Immanuel Wilder,/al/madison/james-clemens-jets/athletes/immanuel-wilder/football/stats/?careerid=vdm00dj2movbb,vdm00dj2movbb,WR,James Clemens,AL,772,772,8,272,41,500,11,2015,returns
50,Miguel,Witham,Miguel Witham,/ca/woodland/woodland-christian-cardinals/athletes/miguel-witham/football/stats/?careerid=ek88op2fdtg22,ek88op2fdtg22,"WR, DB",Woodland Christian,CA,769,769,26,769,0,0,11,2015,returns
51,Kris,Copeland,Kris Copeland,/sc/summerville/cane-bay-cobras/athletes/kris-copeland/football/stats/?careerid=n4k7tp3b785aa,n4k7tp3b785aa,"SB, WR",Cane Bay,SC,763,763,20,534,17,229,12,2015,returns
