return_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_return_yards,kickoff_returns,kickoff_return_yards,punt_returns,punt_return_yards,games_played,year,category
1,AJ,Davis,AJ Davis,/wa/clarkston/clarkston-bantams/athletes/aj-davis/football/stats/?careerid=hgn31i90qahn7,hgn31i90qahn7,"QB, CB",Clarkston,WA,1451,1451,0,0,0,0,11,2014,returns
2,Frederick,Lehman,Frederick Lehman,/ne/fort-calhoun/fort-calhoun-pioneers/athletes/frederick-lehman/football/stats/?careerid=rjdoaaooh8fl5,rjdoaaooh8fl5,"QB, MLB",Fort Calhoun,NE,1391,1391,0,0,0,0,10,2014,returns
3,Cole,Mcdonald,Cole Mcdonald,/ca/la-habra/sonora-raiders/athletes/cole-mcdonald/football/stats/?careerid=u7lrjiacfqcp9,u7lrjiacfqcp9,"QB, SS",Sonora,CA,1372,1372,0,0,0,0,10,2014,returns
4,Harley,Snyder,Harley Snyder,/oh/massillon/tuslaw-mustangs/athletes/harley-snyder/football/stats/?careerid=0acc6pm2g3gaa,0acc6pm2g3gaa,"QB, DB",Tuslaw,OH,1357,1357,0,0,0,0,9,2014,returns
5,Harley,Snyder,Harley Snyder,/oh/massillon/tuslaw-mustangs/athletes/harley-snyder/football/stats/?careerid=0acc6pm2g3gaa,0acc6pm2g3gaa,"QB, DB",Tuslaw,OH,1320,1320,0,0,0,0,8,2014,returns
6,Laurence,King,Laurence King,/dc/washington/archbishop-carroll-lions/athletes/laurence-king/football/stats/?careerid=lc3oei21ugidd,lc3oei21ugidd,"WR, CB",Archbishop Carroll,DC,1234,1234,32,892,21,546,8,2014,returns
7,Cedarius,Rookard,Cedarius Rookard,/sc/spartanburg/spartanburg-vikings/athletes/cedarius-rookard/football/stats/?careerid=b82ighimg4rl5,b82ighimg4rl5,SS,Spartanburg,SC,1160,1160,19,840,12,320,13,2014,returns
8,Michael,Wooten,Michael Wooten,/nc/princeton/princeton-bulldogs/athletes/michael-wooten/football/stats/?careerid=lonj2s4viifn7,lonj2s4viifn7,"QB, FS",Princeton,NC,1150,1150,0,0,0,0,14,2014,returns
9,Jaleen,Tennison,Jaleen Tennison,/tx/lubbock/estacado-matadors/athletes/jaleen-tennison/football/stats/?careerid=5abt0757f4855,5abt0757f4855,"QB, DB",Estacado,TX,1130,1130,19,625,15,505,12,2014,returns
10,David,Borquez,David Borquez,/az/safford/safford-bulldogs/athletes/david-borquez/football/stats/?careerid=vfjsudjk5i044,vfjsudjk5i044,"WR, DB",Safford,AZ,1052,1052,23,804,14,248,12,2014,returns
11,Tysheen,McCrea,Tysheen McCrea,/ct/danbury/danbury-hatters/athletes/tysheen-mccrea/football/stats/?careerid=lqeg0nsk650bb,lqeg0nsk650bb,"WR, DB",Danbury,CT,1050,1050,25,833,11,217,11,2014,returns
12,Jovon,Quarles,Jovon Quarles,/nc/mt-ulla/west-rowan-falcons/athletes/jovon-quarles/football/stats/?careerid=fls45i88r0gp9,fls45i88r0gp9,RB,West Rowan,NC,1047,1047,23,619,19,428,11,2014,returns
13,Kaleb,Fossum,Kaleb Fossum,/ca/lake-forest/el-toro-chargers/athletes/kaleb-fossum/football/stats/?careerid=rkitfn72q1tk4,rkitfn72q1tk4,"WR, DB",El Toro,CA,1032,1032,22,684,18,348,12,2014,returns
14,Chris,Greco,Chris Greco,/nv/reno/wooster-colts/athletes/chris-greco/football/stats/?careerid=htqr388o7tm44,htqr388o7tm44,"WR, DB",Wooster,NV,1023,1023,31,940,9,83,10,2014,returns
15,Nick,Shanks,Nick Shanks,/ca/san-juan-capistrano/st-margarets-tartans/athletes/nick-shanks/football/stats/?careerid=rqjm5echqml44,rqjm5echqml44,"RB, WR",St. Margaret's,CA,986,986,12,486,14,500,16,2014,returns
16,Nick,Watase,Nick Watase,/ca/la-habra/whittier-christian-heralds/athletes/nick-watase/football/stats/?careerid=67srip94745o8,67srip94745o8,"RB, WR",Whittier Christian,CA,980,980,35,871,10,109,10,2014,returns
17,Kody,McKinniss,Kody McKinniss,/oh/corning/miller-falcons/athletes/kody-mckinniss/football/stats/?careerid=iherdom6p6811,iherdom6p6811,"WR, DB",Miller,OH,970,970,32,898,6,72,10,2014,returns
18,Jordan,Cody,Jordan Cody,/nc/bryson-city/swain-county-maroon-devils/athletes/jordan-cody/football/stats/?careerid=q445ehdlj3aue,q445ehdlj3aue,"WR, FS",Swain County,NC,952,952,26,584,16,368,15,2014,returns
19,Daveon,Perry,Daveon Perry,/nc/kannapolis/al-brown-wonders/athletes/daveon-perry/football/stats/?careerid=ml60rk3v2jp44,ml60rk3v2jp44,"FS, WR",A.L. Brown,NC,940,940,20,631,15,309,12,2014,returns
20,Carl,Jones,Carl Jones,/oh/galena/columbus-crusaders/athletes/carl-jones/football/stats/?careerid=8h99bqbi3l977,8h99bqbi3l977,"WR, FS",Columbus Crusaders,OH,936,936,25,850,3,86,9,2014,returns
21,Evan,Lundgren,Evan Lundgren,/ms/bay-st-louis/st-stanislaus-rock-a-chaws/athletes/evan-lundgren/football/stats/?careerid=8v9r7ndoccq66,8v9r7ndoccq66,"FS, RB",St. Stanislaus,MS,929,929,14,546,13,383,11,2014,returns
22,Nick,Fadelli,Nick Fadelli,/ca/moraga/campolindo-cougars/athletes/nick-fadelli/football/stats/?careerid=kbmiq5bam4d00,kbmiq5bam4d00,"RB, DB",Campolindo,CA,927,927,25,772,7,155,16,2014,returns
23,JIMMY,HARRIS,JIMMY HARRIS,/tn/memphis/carver-cobras/athletes/jimmy-harris/football/stats/?careerid=hjimf2b1osjl5,hjimf2b1osjl5,"WR, FS",Carver,TN,927,927,20,682,6,245,11,2014,returns
24,Justin,Neff,Justin Neff,/pa/mill-hall/central-mountain-wildcats/athletes/justin-neff/football/stats/?careerid=9bobqnbdj8utd,9bobqnbdj8utd,"QB, RB",Central Mountain,PA,921,921,26,809,3,112,10,2014,returns
25,Justin,Daul,Justin Daul,/ny/wilson/wilson-lakemen/athletes/justin-daul/football/stats/?careerid=4qkeqf8req288,4qkeqf8req288,,Wilson,NY,921,921,0,0,0,0,9,2014,returns
26,Austin,Calamita,Austin Calamita,/ct/north-branford/north-branford-thunderbirds/athletes/austin-calamita/football/stats/?careerid=9arifrbmtcttd,9arifrbmtcttd,"SE, S",North Branford,CT,918,918,61,478,23,440,13,2014,returns
