player_id,hs_athletic_background,skill_1,skill_1_rating,skill_2,skill_2_rating,skill_3,skill_3_rating,skill_4,skill_4_rating,skill_5,skill_5_rating,skill_6,skill_6_rating,skill_7,skill_7_rating,skill_8,skill_8_rating
201600001,Also plays basketball for Paramus Catholic,Athleticism,10,Hand Quickness,10,First Step,10,Explosiveness,10,Motor,9,Point of Attack,9,Strength,9,Size,9
201600002,"Dexter Lawrence is a 6-5, 300-pound Defensive Tackle from Wake Forest, NC.",Size,10,Strength,9,Motor,8,Athleticism,8,Hand Quickness,8,First Step,8,Explosiveness,8,Point of Attack,8
201600003,HIGH SCHOOL: 2014: Named 2014 All-USA Second Team by USA TODAY...Was named an AP Class 6A first-team all-state selection and a second-team USA Today All-USA pick as a junior; Named a MaxPreps Junior All-American; Helped Allen to 16-0 record and both a state and national championship....2013: Was a first-team all-district selection as a sophomore; Helped Allen to a 16-0 record and a state championshipPERSONAL: He is the son of former South Carolina linebacker Derrick Little.,Feet,9,Pass Blocking,9,Frame,9,Size,9,Punch,8,Run Blocking,8,Body Quickness,8,Athleticism,8
201600004,He transferred from Hidalgo (Texas) HS prior to his sophomore year.,Delivery,9,Accuracy,9,Intangibles,8,Pocket Presence,8,Reactive Quickness,8,Feet,8,Arm Strength,7,Size,6
201600005,"Jacob Eason is a 6-5, 205-pound Pro-Style Quarterback from Lake Stevens, WA.",Accuracy,9,Arm Strength,9,Size,9,Intangibles,8,Pocket Presence,8,Feet,8,Delivery,8,Reactive Quickness,7
201600006,HIGH SCHOOL: 2014: Named the District 15-6A Overall MVP as a junior; Honorable Mention all-state selection by both AP and TSWA....2013: Named the District 13-5A Defensive Newcomer of the Year as a sophomorePERSONAL: He is the younger brother of 2014 University of Houston offensive line signee Marcus Oliver.,Motor,10,Hand Quickness,9,Point of Attack,9,Athleticism,8,First Step,8,Explosiveness,8,Strength,8,Size,6
201600007,"Levonta Taylor is a 5-10, 170-pound Cornerback from Virginia Beach, VA.",Instincts,10,Speed,10,Change of Direction,9,Reactive Quickness,9,Recovery Speed,9,Tackling,8,Ball Skills,8,Length,6
201600008,Older brother is 2013 defensive end prospect Joey Bosa. ...Father played in the National Football League.,Point of Attack,10,Hand Quickness,9,Pursuit,9,Closing Speed,8,First Step,8,Athleticism,8,Frame,8,Size,8
201600009,"Derrick Brown is a 6-4, 275-pound Defensive Tackle from Buford, GA.",Athleticism,9,Explosiveness,9,Point of Attack,9,Motor,8,Hand Quickness,8,First Step,8,Strength,8,Size,8
201600010,"Ben Davis is a 6-3, 240-pound Athlete from Gordo, AL.",Lateral Movement,9,Frame,9,Reactive Quickness,8,Pursuit,8,Play in Space,8,Athleticism,8,Instincts,7,Tackling,7
201600011,"Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",,,,,,,,,,,,,,,,
201600012,"Mecole Hardman is a 5-10, 165-pound Cornerback from Elberton, GA.",,,,,,,,,,,,,,,,
201600013,"Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",Explosiveness,9,Athleticism,9,Intangibles,8,Versatility,8,Change of Direction,8,Speed,8,Size,8,Ball Skills,7
201600014,"Starter as a freshman...Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",Point of Attack,9,Size,9,Mismatch Ability,8,Catch Radius,8,Hands,8,Frame,8,Route Running,7,Athleticism,7
201600015,"Betiku Oluwole is a Strong-Side Defensive End from Gardena, CA.",,,,,,,,,,,,,,,,
201600016,"Lyndell Wilson is a 6-2, 215-pound Outside Linebacker from Montgomery, AL.",Reactive Quickness,9,Pursuit,9,Tackling,9,Instincts,8,Lateral Movement,8,Play in Space,8,Athleticism,8,Frame,8
201600017,"Jonah  Williams is a 6-5, 296-pound offensive tackle from Folsom, CA.",,,,,,,,,,,,,,,,
201600018,"Jeffrey Simmons is a 6-2, 235-pound Strong-Side Defensive End from Macon, MS.",,,,,,,,,,,,,,,,
201600019,"Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",,,,,,,,,,,,,,,,
201600020,"McTelvin Agim is a 6-3, 288-pound Strong-Side Defensive End from Hope, AR.",,,,,,,,,,,,,,,,
201600021,"Miles Sanders is a 5-11, 195-pound Running Back from Pittsburgh, PA.",,,,,,,,,,,,,,,,
201600022,"Kristian Fulton is a 6-0, 165-pound Cornerback from Metairie, LA.",Instincts,8,Tackling,8,Ball Skills,8,Change of Direction,8,Reactive Quickness,8,Recovery Speed,8,Speed,7,Length,7
201600023,"Rashard Lawrence is a 6-3, 250-pound Defensive Tackle from Monroe, LA.",Motor,10,Hand Quickness,9,Athleticism,8,First Step,8,Explosiveness,8,Point of Attack,8,Strength,8,Size,8
201600024,"Caleb Kelly is a 6-2.5, 208-pound Outside Linebacker from Fresno, CA.",Lateral Movement,9,Play in Space,9,Athleticism,9,Reactive Quickness,8,Pursuit,8,Frame,8,Instincts,7,Tackling,7
201600025,"Benito Jones is a 6-2, 260-pound Defensive Tackle from Waynesboro, MS.",Hand Quickness,9,Motor,8,Point of Attack,8,Strength,8,Athleticism,7,First Step,7,Explosiveness,7,Size,6
201600026,Named 2014 All-USA Second Team by USA TODAY.,Frame,9,Size,9,Punch,8,Run Blocking,8,Feet,8,Pass Blocking,8,Body Quickness,7,Athleticism,7
201600027,"Antonneous Clayton is a 6-3, 233-pound Weak-Side Defensive End from Vienna, GA.",,,,,,,,,,,,,,,,
201600028,"Michal Menet is a 6-5, 273-pound Offensive Tackle from Reading, PA. Was an all-state selection as a sophomore as a defensive lineman and a repeat selection as an offensive lineman as a junior. Was the offensive and defensive Lineman of the Year in Berks County as a junior in 2014.",Athleticism,9,Punch,8,Run Blocking,8,Feet,8,Body Quickness,8,Pass Blocking,8,Frame,8,Size,8
201600029,"Considered the best prospect to come out of Spartanburg High since Stephen Davis in the early 1990s. ...All-State, All-Region. ...U.S. Army All-American Bowl invite for 2016.",Speed,8,Hands,9,Agility,9,Explosiveness,8,Feet,8,Vision,8,Change of Direction,8,Tackle Breaking,7
201600030,"Tyler was the player of the year, and the MVP of the Missouri League...Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",Ball Skills,10,Hands,10,Route Running,8,Size,8,Yards After Catch,7,Change of Direction,7,Agility,7,Speed,6
201600031,"Landon Dickerson is a Offensive Tackle from Hickory, NC.",,,,,,,,,,,,,,,,
201600032,"Marlon Davidson is a 6-3, 240-pound Weak-Side Defensive End from Greenville, AL. He is the younger brother of Auburn defensive lineman Kenneth Carter.",Point of Attack,8,Hand Quickness,8,Pursuit,8,Closing Speed,8,Athleticism,8,Frame,8,Size,8,First Step,7
201600033,"Jonathon Cooper is a Weak-Side Defensive End from Columbus, OH.",,,,,,,,,,,,,,,,
201600034,"2014: Was a first-team all-district pick as a junior....2013: He was named a first-team all-district selection at wide receiver and kick returner as a sophomore. He transferred from Houston Northbrook to Westfield after his sophomore season...Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",,,,,,,,,,,,,,,,
201600035,"B.J.  Emmons is a 6-0, 232-pound Running Back from Morganton, NC.",,,,,,,,,,,,,,,,
201600036,"Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",,,,,,,,,,,,,,,,
201600037,"HIGH SCHOOL: 2014: Earned first-team all-district honors as a junior... Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus....2013: Was a first-team all-district pick as a sophomore.PERSONAL: He is the cousin of Class of 2015 Allen (Texas) QB Kyler Murray.",Yards After Catch,10,Speed,10,Change of Direction,8,Agility,8,Hands,8,Route Running,7,Ball Skills,7,Size,5
201600038,"Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",Hands,9,Frame,9,Point of Attack,8,Mismatch Ability,8,Route Running,8,Catch Radius,8,Athleticism,8,Size,8
201600039,"Ben Bredeson is a 6-4, 255-pound Offensive Tackle from Hartland, WI.",Body Quickness,9,Run Blocking,8,Feet,8,Pass Blocking,8,Athleticism,8,Frame,8,Size,8,Punch,7
201600040,2013: Named by MaxPreps as a first-team Sophomore All-American; Was named a first-team all-district selection as a sophomore; Was an honorable mention all-state pick by both the AP and the TSWA,Speed,10,Instincts,8,Tackling,8,Closing Speed,8,Ball Skills,8,Playmaking,8,Frame,6,Size,6
201600041,"Shane Simmons is a 6-4, 221-pound outside linebacker from Hyattsville, MD.",Athleticism,9,Speed,8,Closing Speed,8,First Step,8,Frame,8,Hand Quickness,7,Size,7,Point of Attack,6
201600042,"Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",,,,,,,,,,,,,,,,
201600043,"Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",,,,,,,,,,,,,,,,
201600044,"Demario McCall is a 5-11, 180-pound Running Back from North Ridgeville, OH.",Explosiveness,10,Vision,9,Change of Direction,9,Feet,9,Speed,7,Tackle Breaking,6,Power,6,Build,6
201600045,"Nate Craig is a 6-2, 185-pound Wide Receiver from Dade City, FL.",Size,9,Yards After Catch,8,Change of Direction,8,Agility,8,Route Running,8,Ball Skills,8,Hands,8,Speed,8
201600046,"Invited to ""The Opening"", an all-star summer prospect camp held on the Nike Campus",,,,,,,,,,,,,,,,
