player_id,hs_athletic_background,skill_1,skill_1_rating,skill_2,skill_2_rating,skill_3,skill_3_rating,skill_4,skill_4_rating,skill_5,skill_5_rating,skill_6,skill_6_rating,skill_7,skill_7_rating,skill_8,skill_8_rating
202300001,"Also plays basketball.2021: As a junior, led New Orleans Isidore Newman to a 7-3 record and a Louisiana Division III state semifinal appearance.2020: Led New Orleans Isidore Newman to a 9-1 record and Louisiana Division III state semifinal berth as a sophomore.2019: As a freshman, led New Orleans Isidore Newman to a 9-2 record and second-round playoff appearance in Louisiana's Division III bracket.",,,,,,,,,,,,,,,,
202300002,"Nickname is the ""Viking"" as mom is from Norway and frequent trips to the Scandinavia country. Multi-sport athlete that played basketball as a freshman and sophomore Berkley Prep before turning focus to football. Also competed on the AAU circuit as a youngster. When it comes to off-the-field actives, was a member of the school's choir as a senior.----2022: Credited with 19 sacks and 23.5 TFL in 12 games. Led Tampa Berkley Prep to the first round of the Sunshine State's new 2M playoffs. Got some snaps at TE in the spring. In season opener against Tampa Plant, racked up 4 sacks, 2 QBH and a FF. Also had 4 sacks against Tampa Robinson later in year.2021: As a junior, helped carry Berkley Prep program to district and regional titles as well as an appearance in Florida’s 3A state title game. Totaled 65 tackles (35 for loss), 16.5 sacks and 22 QBH in 13 game. In a nationally televised game against Arch Manning and Isidore Newman of New Orleans, he credited with 3 QBH, 2 sacks, an INT and a PBU. In the championship meeting Chaminade-Madonna Prep, made 4 tackles while also forcing a fumble.- Andrew Ivins",,,,,,,,,,,,,,,,
202300003,"Member of 247Sports' 2023 Freaks List.Also a top volleyball recruit and has an older brother on volleyball team at Long Beach State. Played his sophomore season at Downey (Calif.) Warren before moving back to Long Beach (Calif.) Poly.2021: As a junior threw for 2,244 yards, 33 TD, and one INT on a 59.6 completion percentage (162 of 272). Added 158 yards and three TD on 4.9 ypc. Led Warren to an 8-1 record and a CIF Southern Section Division 2 playoff appearance.",,,,,,,,,,,,,,,,
202300004,"Finished high school career with a 40-11 record across four seasons, winning two state titles and appearing in another state championship game.-----2022: As a senior, led Detroit King to a 10-3 record and a second consecutive Michigan Division III state championship.2021: As a junior, led Detroit King to a 13-1 record and the Michigan Division III state championship.2020: As a sophomore, led Detroit King to a 6-4 record and a Michigan Division III fourth-round playoff appearance.2019: Led Detroit King to an 11-3 record and a Michigan Division II state runner-up finish as a freshman.- Gabe Brooks",,,,,,,,,,,,,,,,
202300005,"Member of 247Sports' 2023 Freaks List.Also competes in track and field.Nevada Southern 5A Regional champion in the 100 meters, 200 meters, and long jump as a sophomore. Ran a 10.33 100 and a wind-aided 21.01 200. Long jumped 24-0 and triple jumped 46-4.25.Fall 2021: As a junior, helped Bishop Gorman to the Nevada 5A state championship. Produced 48-1,094-14 receiving and returned two punts for touchdowns.Spring 2021: Played an abbreviated two-game sophomore season (7-134-4 receiving).Fall 2019: Played nine games on varsity as a freshman, producing 18-391-4 receiving.",,,,,,,,,,,,,,,,
202300006,"Three-sport athlete who plays basketball and throws shot put and discus. Played junior season at Allen (Texas). Played freshman and sophomore seasons at Katy (Texas) Morton Ranch.As a junior in March 2022, posted a 51-9 shot put and a 157-10 discus.Recorded a 54-2 shot put and a 145-1 discus as a sophomore in Spring 2021.Posted a 48-4.5 shot put as a freshman in March 2020.-----2022: Texas District 19-6A Co-Defensive MVP as a senior.2021: Texas District 5-6A Defensive MVP as a junior at Allen with 88 tackles, 22 TFL, and 13 sacks. Texas 6A first-team all-state selection by the Texas Sportswriters Association (TSWA).2020: Assembled a breakout sophomore season at Katy Morton Ranch with 52 tackles, 12 TFL, and five sacks.- Gabe Brooks",,,,,,,,,,,,,,,,
202300007,"Multi-sport athlete that has also played basketball and baseball. Member of the National Honors Society. As an 11th grader, helped Mill Creek’s basketball team make Georgia’s AAAAAAA state tournament.-----2022: MaxPreps National Player of the Year and Georgia Gatorade Player of the Year. Made an impact in all three phases of the game a senior. Finished season with 57 carries for 389 rushing yards (6.8 ypc) and 20 TD, 36 catches for 422 yards (11.7 avg) and 3 TD, and completed 2 of 4 pass attempts for 39 yards and one TD. Recorded 83 tackles and 5 INTs (2 pick sixes) on defense. Played a major role in Mill Creek's 14-1 record and a AAAAAAA state championship.2021: Two-way player. Scored five different ways over the course of the season (4 rushing TD, 2 receiving TD, 2 interception returns for TD, 1 kickoff return TD and also threw a TD pass). On defense, was credited with 77 tackles, 11 pass break ups and 5 INT. Also forced a fumble and recorded a sack. Helped Mill Creek post an 11-2 record in the Peach State's second-highest classification. MaxPreps Junior All-American first-team selection on defense and the Region 8-AAAAAAA Defensive Player of the Year.2020: MaxPreps Sophomore All-American first-team selection on defense. Played both ways, carrying the ball 27 times for 175 yards and 3 TDs. Also caught 2 passes for 61 yards and a TD. Racked up 57 tackles on the other side of the ball.2019: Started on varsity as a freshman and came down with 5 INTs.-Andrew Ivins",,,,,,,,,,,,,,,,
202300008,Also plays baseball.2021: Texas District 5-6A Co-MVP as a junior. Helped lead Guyer to the Class 6A-Division II state championship game2020: Second-string QB behind Texas A&M 2021 four-star signee Eli Stowers.2019: Forced into action as a freshman in the first quarter of the Texas 6A D-II state championship game vs. Austin Westlake (24-3 loss) when Eli Stowers got injured.-- Gabe Brooks,,,,,,,,,,,,,,,,
202300009,"Member of 247Sports' 2023 Freaks List.Originally from American Samoa. Has played club volleyball in the past.-----2022: Flipped over to LT for Bradenton (Fla.) IMG Academy, which posted a 9-1 record while averaging 49.7 points per game.2021: MaxPreps Junior All-American. Got snaps primarily at RT for a Bradenton (Fla.) IMG Academy program that went 9-1 playing a national schedule. Worked opposite of Alabama signee Tyler Booker, who was the team’s starting LT. Blocked for Penn State running back signee Kaytron Allen as well as FSU quarterback signee AJ Duffy.2020: Moved back to his hometown of Pago Pago, American Samoa where he spent his sophomore season at Tafuna High. Played most DL and helped the Warriors go undefeated while capturing a championship.2019: As a freshman, played both ways at San Bernardino (Calif.) Aquinas alongside his brother, three-star linebacker Francisco.- Andrew Ivins",,,,,,,,,,,,,,,,
202300010,Member of 247Sports' 2023 Freaks List.Also plays basketball and throws shot put.Placed fifth as a junior at the Iowa State Track and Field Championships in May 2022 with a 52-10 shot put throw. Also posted throws of 48-10.5 and 46-7 during Spring 2022 outdoor season. Placed third at the Iowa Indoor Track and Field Championships with a 48-9 shot put in March 2022. Posted shot put numbers for 45-11 and 43-6 as a sophomore in Spring 2021.,,,,,,,,,,,,,,,,
