interceptions_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_interceptions,interceptions_per_game,interception_yards,games_played,year,category
1,JaDarius,Burney,JaDarius Burney,/al/goshen/goshen-eagles/athletes/jadarius-burney/football/stats/?careerid=josv4vl66csh1,josv4vl66csh1,"WR, CB",Goshen,AL,13,13,1.4,50,9,2025,interceptions
2,Derrick,Reid Jr,Derrick Reid Jr,/nc/winston-salem/carver-yellowjackets/athletes/derrick-reid-jr/football/stats/?careerid=5fak5uuq4pq88,5fak5uuq4pq88,"WR, FS",Carver,NC,12,12,1.3,0,9,2025,interceptions
3,Billy,Baca,Billy Baca,/nm/truth-or-consequences/hot-springs-tigers/athletes/billy-baca/football/stats/?careerid=qtemtmp77dp00,qtemtmp77dp00,"WR, CB",Hot Springs,NM,11,11,1.0,152,11,2025,interceptions
4,Malik,Jones,Malik Jones,/nc/wilson/sallie-b-howard-eagles/athletes/malik-jones/football/stats/?careerid=2i326r5caohh1,2i326r5caohh1,"WR, DB",Sallie B. Howard,NC,11,11,0.9,158,12,2025,interceptions
5,Kamarion,Larry,Kamarion Larry,/nc/williamston/martin-county-gators/athletes/kamarion-larry/football/stats/?careerid=1h0snsd1oed88,1h0snsd1oed88,ATH,Martin County,NC,11,11,0.9,309,12,2025,interceptions
6,Conner,Vaden,Conner Vaden,/al/scottsboro/scottsboro-wildcats/athletes/conner-vaden/football/stats/?careerid=8mhftcks93q99,8mhftcks93q99,WR,Scottsboro,AL,11,11,0.8,0,14,2025,interceptions
7,Damonte,Tabb,Damonte Tabb,/al/alabaster/thompson-warriors/athletes/damonte-tabb/football/stats/?careerid=9m9k4pe3p4fg0,9m9k4pe3p4fg0,"FS, CB",Thompson,AL,11,11,0.8,243,14,2025,interceptions
8,Terrance,Johnson,Terrance Johnson,/fl/plantation/american-heritage-patriots/athletes/terrance-johnson/football/stats/?careerid=date6u1ma3eue,date6u1ma3eue,,American Heritage,FL,11,11,0.8,25,14,2025,interceptions
9,Riley,Morgan,Riley Morgan,/nm/fort-wingate/wingate/athletes/riley-morgan/football/stats/?careerid=k84hhfcoosqcc,k84hhfcoosqcc,,Wingate,NM,10,10,1.4,0,7,2025,interceptions
10,King,Kahalewai,King Kahalewai,/nv/las-vegas/spring-valley-grizzlies/athletes/king-kahalewai/football/stats/?careerid=2m1hnehl0r9n7,2m1hnehl0r9n7,"WR, DB",Spring Valley,NV,10,10,1.1,132,9,2025,interceptions
