interceptions_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_interceptions,interceptions_per_game,interception_yards,games_played,year,category
1,Christian,Richardson,Christian Richardson,/nc/wilson/wilson-prep-tigers/athletes/christian-richardson/football/stats/?careerid=ctbo3klm7ks44,ctbo3klm7ks44,"DB, WR",Wilson Prep Academy,NC,14,14,1.1,388,13,2023,interceptions
2,Cohen,Babelay,Cohen Babelay,/tn/maryville/maryville-red-rebels/athletes/cohen-babelay/football/stats/?careerid=ukf2a16u52ai2,ukf2a16u52ai2,LB,Maryville,TN,13,13,1.9,0,7,2023,interceptions
3,Davion,Turns,Davion Turns,/va/chesapeake/indian-river-braves/athletes/davion-turns/football/stats/?careerid=tmne2ag3jrkm6,tmne2ag3jrkm6,"WR, QB",Indian River,VA,13,13,1.9,0,7,2023,interceptions
4,Reggie,Heath,Reggie Heath,/sc/chester/chester-cyclones/athletes/reggie-heath/football/stats/?careerid=f5pt73umv8j33,f5pt73umv8j33,"WR, CB",Chester,SC,13,13,1.0,0,13,2023,interceptions
5,Connor,Frith,Connor Frith,/ar/perryville/perryville-mustangs/athletes/connor-frith/football/stats/?careerid=13t3jb9vjhkqa,13t3jb9vjhkqa,"WR, SS",Perryville,AR,12,12,1.1,0,11,2023,interceptions
6,Bryson,Headrick,Bryson Headrick,/tn/sevierville/sevier-county-smoky-bears/athletes/bryson-headrick/football/stats/?careerid=0hpd18d152jsc,0hpd18d152jsc,"CB, WR",Sevier County,TN,12,12,1.0,0,12,2023,interceptions
7,Jayden,Mayberry,Jayden Mayberry,/ut/highland/lone-peak-knights/athletes/jayden-mayberry/football/stats/?careerid=60efc0u85n7bb,60efc0u85n7bb,"FS, WR",Lone Peak,UT,12,12,1.0,169,12,2023,interceptions
8,Tallen,Hulvey,Tallen Hulvey,/oh/medina/medina-battling-bees/athletes/tallen-hulvey/football/stats/?careerid=i9fhbjklp2jl5,i9fhbjklp2jl5,S,Medina,OH,12,12,0.9,201,13,2023,interceptions
9,Devin,Diaz,Devin Diaz,/nm/portales/portales-rams/athletes/devin-diaz/football/stats/?careerid=qdpa9e9sdmt33,qdpa9e9sdmt33,"OLB, MLB",Portales,NM,12,12,0.9,33,13,2023,interceptions
10,Mikey,Munn,Mikey Munn,/co/windsor/windsor-wizards/athletes/mikey-munn/football/stats/?careerid=umaru41lrai66,umaru41lrai66,"FS, QB",Windsor,CO,12,12,0.9,139,13,2023,interceptions
11,Shane,Rosenthal,Shane Rosenthal,/ca/newbury-park/newbury-park-panthers/athletes/shane-rosenthal/football/stats/?careerid=bkt87u0ufqs88,bkt87u0ufqs88,"WR, FS",Newbury Park,CA,12,12,0.9,0,14,2023,interceptions
12,Lance,Johnson,Lance Johnson,/il/crete/crete-monee-warriors/athletes/lance-johnson/football/stats/?careerid=426s2fdor0f66,426s2fdor0f66,MLB,Crete-Monee,IL,11,11,1.8,0,6,2023,interceptions
13,Amari'a,Wiley,Amari'a Wiley,/tx/coppell/coppell-cowboys/athletes/amaria-wiley/football/stats/?careerid=ra1si7nhhlucc,ra1si7nhhlucc,MLB,Coppell,TX,11,11,1.0,138,11,2023,interceptions
14,Jason,De la cruz,Jason De la cruz,/ca/orosi/orosi-cardinals/athletes/jason-de-la-cruz/football/stats/?careerid=hma63hbgoo122,hma63hbgoo122,"RB, FS",Orosi,CA,11,11,0.9,0,12,2023,interceptions
15,Dylan,Smith,Dylan Smith,/oh/creston/norwayne-bobcats/athletes/dylan-smith/football/stats/?careerid=s2mrqnt9udgaa,s2mrqnt9udgaa,"QB, SS",Norwayne,OH,11,11,0.9,332,12,2023,interceptions
16,Andrew,Ruppe,Andrew Ruppe,/sc/gaffney/gaffney-indians/athletes/andrew-ruppe/football/stats/?careerid=qq1llm9vs9eee,qq1llm9vs9eee,MLB,Gaffney,SC,11,11,0.9,21,12,2023,interceptions
17,Luis,Gomez,Luis Gomez,/nm/eunice/eunice-cardinals/athletes/luis-gomez/football/stats/?careerid=ic1spgebr4uff,ic1spgebr4uff,"FS, WR",Eunice,NM,11,11,0.8,151,13,2023,interceptions
